"","X2_jvm_heap_committed_value","X2_jvm_heap_usage_value","X2_jvm_pools_PS.Eden.Space_committed_value","X2_jvm_pools_PS.Old.Gen_usage_value","driver_BlockManager_memory_memUsed_MB_value","node5_CPU023_User.","node5_NETPACKET_em1.read.s","node5_NET_ib0.read.KB.s","node5_NET_ib0.write.KB.s","node6_NET_ib0.read.KB.s","node7_NET_ib0.write.KB.s","node8_CPU009_User.","node8_CPU015_User.","node8_NETPACKET_em1.write.s"
"1",6070730752,0.560198800899733,2252865536,0.422380363047368,675,1,535.6,472,858.9,20846.5,7294.9,3,3,2012.2
"2",6070730752,0.607022126995905,2252865536,0.422380363047368,553,1,707.3,30.5,383,10516,3624.2,0,2,1322.8
"3",6070730752,0.612939054577667,2252865536,0.422380363047368,568,0,431.9,6449.3,663.4,10659.5,7162.9,0,3.9,1177.7
"4",6070730752,0.616877085689135,2252865536,0.422380363047368,583,1,436.8,7104.3,652.8,9700.2,7206.2,0,2,1166.8
"5",6070730752,0.622392847720688,2252865536,0.422380363047368,590,0,413.8,6777.3,329.5,4.7,3585.3,0,3,1194.5
"6",6115819520,0.415419025625445,2254962688,0.42238751538647,606,1,2680.5,673.5,1637.4,22513.1,8462,2,4,2410.7
"7",6115819520,0.455697719424153,2254962688,0.42238751538647,560,1,1069.8,386.6,742.7,20209.9,7188.1,1,2,1387.5
"8",6115819520,0.461009121176896,2254962688,0.42238751538647,567,1,414.9,2.7,326.7,9820.1,3588.7,1,3,1231.2
"9",6115819520,0.46670359669397,2254962688,0.42238751538647,582,0,441.8,7081.3,652.3,10340.7,7153.6,0,4,1201.8
"10",6115819520,0.470741249970832,2254962688,0.42238751538647,597,0,440,6780.3,651.6,10149.8,7159.1,0,2,1228.4
"11",6115819520,0.565316073222005,2254962688,0.42238751538647,605,1,546.6,6934.4,569.3,1034.3,3729.2,0,2,1762.2
"12",6115819520,0.597348523054828,2254962688,0.42238751538647,551,0,494.4,354.8,659.3,21404.9,7184.4,0,2,1693.8
"13",6115819520,0.60128012858587,2254962688,0.42238751538647,566,1,439,7084.7,652.3,9749.4,7160,0,3,1228.4
"14",6115819520,0.607097225508759,2254962688,0.42238751538647,574,0,412.6,3.9,664.3,10435,3596,0,3,1207.5
"15",6115819520,0.612825529354675,2254962688,0.42238751538647,589,1,444.2,7087.9,655.6,9973.8,7166.1,0,3,1199.9
"16",6113722368,0.404099543780228,2254962688,0.42239466772557,543,3,3379.8,6762.6,1640,13326.9,8321.3,2,4,2414.3
"17",6113722368,0.44363829003229,2254962688,0.42239466772557,550,0,507.4,373.7,359.2,10075.4,3579.2,0,2,1285
"18",6113722368,0.449155335503599,2254962688,0.42239466772557,565,0,442.8,6458.8,656.4,10778.3,7167.4,0,3.9,1163.7
"19",6113722368,0.453546662868886,2254962688,0.42239466772557,580,1,443.9,7102.2,659.1,10128.4,7181.7,0,2,1236.5
"20",6113722368,0.459290950516363,2254962688,0.42239466772557,588,0,417.6,326.7,328.9,10040.8,3582.9,0,3,1175.3
"21",6113722368,0.545453707289807,2254962688,0.42239466772557,603,1,580.8,6848.7,777.9,10750.8,7340.5,1,3,2105.5
"22",6113722368,0.602417858640298,2254962688,0.42239466772557,556,1,607.3,13233.9,791.5,642.9,7237.6,0,3,1346.2
"23",6113722368,0.608226331895735,2254962688,0.42239466772557,564,0,414.5,324.8,326.9,9994.1,3594,0,2,1217.2
"24",6113722368,0.613932203310134,2254962688,0.42239466772557,579,1,440,13191.6,981.6,327.8,7180.2,1,5,1175.4
"25",6113722368,0.617861109950719,2254962688,0.42239466772557,594,0,439.9,6774,656.3,10445.2,7173.5,0,3,1155.4
"26",6117392384,0.403657246343188,2262827008,0.422401820064671,601,2,2874.2,6732.3,1309.3,2814.7,4934.5,2,4,2442.8
"27",6117392384,0.444250528513157,2262827008,0.422401820064671,549,0,441.6,6756.3,655.2,10520.6,7162.4,0,2.9,1186.1
"28",6117392384,0.448138169160553,2262827008,0.422401820064671,564,1,446.8,649.2,654.1,19343.4,7164.9,0,3,1242.4
"29",6117392384,0.4537535533575,2262827008,0.422401820064671,571,0,417.1,324.1,326.3,9854,3572.4,0,2,1183.3
"30",6117392384,0.459437330749394,2262827008,0.422401820064671,586,1,446,7064.9,658.3,9998.3,7179.5,1,2,1237.7
"31",6117392384,0.543517607511056,2262827008,0.422401820064671,601,0,573.4,431.1,830.8,20739,7287.6,0,5,1823.2
"32",6117392384,0.581084548166511,2262827008,0.422401820064671,549,1,483.9,6766.2,384.3,771,3655.1,3,3,1742.9
"33",6117392384,0.58687223388873,2262827008,0.422401820064671,563,0,439.7,6737.4,657.5,10404.3,7164,0,3,1188.8
"34",6117392384,0.590858858648613,2262827008,0.422401820064671,578,0,437.8,6763.2,655.1,10658,7467.8,0,2,1190.9
"35",6117392384,0.596704130479183,2262827008,0.422401820064671,586,1,405.9,6433.7,328,646.1,3590.2,0,3,1208.3
"36",6117916672,0.392314019290931,2262827008,0.422408972403773,541,1,2845.6,7399.3,1656.9,12438.1,8476.1,4,7,2418.6
"37",6117916672,0.434924087168194,2262827008,0.422408972403773,556,1,445.6,647.9,652.4,20165.3,7172.8,0,3,1188.4
"38",6117916672,0.440725651850775,2262827008,0.422408972403773,563,0,413,2.7,326.9,10026.1,3591.6,0,3,1174
"39",6117916672,0.446359078591422,2262827008,0.422408972403773,578,1,443,647.6,653.3,19483.1,7253.4,0,2,1217.7
"40",6117916672,0.450391121403066,2262827008,0.422408972403773,593,0,445.9,7083.7,652.6,10372,7170.5,2,4,1173.8
"41",6117916672,0.543792779090083,2262827008,0.422408972403773,601,1,590.5,197.2,502.8,11386.2,3687.1,1,3,2019.7
"42",6117916672,0.578429883471298,2262827008,0.422408972403773,548,0,514.7,25.7,703.5,20111.8,7201.2,0,2,1367.5
"43",6117916672,0.583035085332882,2262827008,0.422408972403773,563,0,440,6800.1,653.6,10534.9,7166.3,0,3,1188.8
"44",6117916672,0.588651980321769,2262827008,0.422408972403773,571,1,411.7,6801.6,645.7,10129.1,3589.7,0,3,1210.7
"45",6117916672,0.594471697557172,2262827008,0.422408972403773,586,0,437,648.1,653.5,10193.7,7182.4,0,3,1201.8
"46",6123683840,0.382656202182702,2271215616,0.422423277081974,601,4,3325.6,7163.1,1604.9,12919.7,8499.5,2,5,3145.6
"47",6123683840,0.435422575169296,2271215616,0.422423277081974,549,0,498.6,339.9,359.9,19741,3602,0,3,1148.6
"48",6123683840,0.441294754183381,2271215616,0.422423277081974,564,1,440.8,326.6,653,10411.2,7180,0,3,1226.3
"49",6123683840,0.445409818260069,2271215616,0.422423277081974,579,0,443.2,327.1,654,20147.1,7185,0,3,1169.9
"50",6123683840,0.451270318496231,2271215616,0.422423277081974,587,1,419.1,2.7,327,20799.8,3587.7,0,3,1219.8
"51",6123683840,0.536496711150528,2271215616,0.422423277081974,602,0,594.6,6945.2,753,644.3,7260.9,1,3,2083.3
"52",6123683840,0.552339620362334,2271215616,0.422423277081974,617,1,471.7,6872.8,808.8,11033,7291.1,1,3,1329
"53",6123683840,0.605780894073344,2271215616,0.422423277081974,565,1,497.3,330.4,662.7,20180.6,3924.2,2,4,1179.8
"54",6123683840,0.611498274537306,2271215616,0.422423277081974,580,0,432.9,6810.2,663,12.9,6849,2,2,1148.5
"55",6123683840,0.615462575827088,2271215616,0.422423277081974,595,0,442.8,13297.6,659.1,331,7176.4,3,4,1178.6
"56",6123683840,0.404827532811467,2271215616,0.422431859888896,603,1,2817.6,534.6,1515.4,12520,5272.4,2,4,2289.5
"57",6123683840,0.44221031505372,2271215616,0.422431859888896,550,1,955.3,13010.5,417.4,332.9,6847.1,0,3,1175.9
"58",6123683840,0.446757577730057,2271215616,0.422431859888896,565,1,439.8,12973.2,658.7,1299.6,7171.5,0,3,1208.4
"59",6123683840,0.452631745289984,2271215616,0.422431859888896,573,0,435.9,6796.1,652.8,10724.1,7155.9,1,3.1,1190.1
