"","X1_jvm_pools_PS.Eden.Space_max_value","X1_jvm_pools_PS.Survivor.Space_committed_value","X2_jvm_heap_committed_value","driver_BlockManager_memory_memUsed_MB_value","driver_BlockManager_memory_remainingMem_MB_value","driver_DAGScheduler_stage_waitingStages_value","node5_NET_ib0.write.KB.s","node6_CPU031_User.","node6_NETPACKET_em1.write.s","node6_NET_ib0.write.KB.s","node7_NET_ib0.read.KB.s"
"1",2592079872,136314880,5595725824,347,80852,0,3568.4,3,1411.9,13607.6,7116.5
"2",2592079872,136314880,5595725824,362,80837,0,7120.6,5,1699.9,13598.4,10677.8
"3",2592079872,136314880,5595725824,374,80826,0,7174.8,14,4062.2,8896.6,3931
"4",2592079872,136314880,5595725824,389,80810,0,6798,5,2109.3,15098.1,7206.5
"5",2592079872,136314880,5595725824,404,80795,0,7386.6,3,1637.5,13598.9,10358.1
"6",2592079872,136314880,5595725824,412,80788,0,7131.8,3,1418.8,6792.3,3246.8
"7",2592079872,136314880,5595725824,427,80772,0,3568.4,3,1667.1,13621.7,7452
"8",2600992768,129499136,5579472896,446,80753,0,7312.3,7.1,3312.5,15371.6,11063.6
"9",2600992768,129499136,5579472896,317,80882,0,7883.1,2,1895.2,7193.4,3627.5
"10",2600992768,129499136,5579472896,332,80867,0,3591.7,3,1600,13603.2,13593.2
"11",2600992768,129499136,5579472896,347,80852,0,7133.6,3,1538.7,13638.2,9741.1
"12",2600992768,129499136,5579472896,355,80844,0,7151,3,1459.8,6821.6,6488.9
"13",2600992768,129499136,5579472896,374,80825,0,3867,15.8,5026.9,16161.3,14374.8
"14",2600992768,129499136,5579472896,390,80810,0,13428.1,2,2622.5,16555.7,10673.5
"15",2600992768,129499136,5579472896,397,80802,0,7128.4,4,1706.8,6826,6817.2
"16",2600992768,129499136,5579472896,412,80787,0,3566.2,3,1579.2,13627.8,10701.8
"17",2600992768,129499136,5579472896,426,80773,0,7121.8,3,1825.5,13628.3,7124.6
"18",2600992768,129499136,5579472896,438,80761,0,7376.7,66.7,3394,8562.3,4543.5
"19",2600992768,129499136,5582618624,453,80746,0,4188.9,5,1628.4,13643.3,10384.2
"20",2600992768,129499136,5582618624,468,80731,0,7132.1,3,1686.3,13635.1,10061
"21",2600992768,129499136,5582618624,476,80723,0,7124,4,1393,7140.4,6483.5
"22",2600992768,129499136,5582618624,491,80708,0,3564.7,3,1498.2,13290.2,11011.8
"23",2593652736,132644864,5582618624,510,80689,0,7398.1,23.8,4574.6,16240.3,7543.8
"24",2593652736,132644864,5582618624,317,80883,0,9967.9,4,2229.5,7917.5,3923.4
"25",2593652736,132644864,5582618624,332,80868,0,3554.7,3,1604.5,12779.9,13618.3
"26",2593652736,132644864,5582618624,347,80852,0,7119.6,3,1718.7,13633.5,13941.3
"27",2593652736,132644864,5582618624,355,80845,0,7124.9,3,1571.2,13612.4,3561.5
"28",2593652736,132644864,5582618624,374,80826,0,3793.2,4.1,3109.9,8717.5,7843
"29",2593652736,132644864,5584715776,389,80810,0,7771.3,3,1693.2,13657.4,10099.7
"30",2593652736,132644864,5584715776,397,80803,0,7130.4,3,1483.5,13613.7,6802
"31",2593652736,132644864,5584715776,412,80788,0,3564.4,3,1547.2,6801.2,7116.7
"32",2593652736,132644864,5584715776,427,80772,0,7122.6,3,1581.7,13614.8,10361.9
"33",2593652736,132644864,5584715776,438,80761,0,7484.5,9.2,4793.7,16311.7,7939.9
"34",2589982720,136839168,5584715776,317,80882,0,9510.2,3,3019.1,10112,7202.2
"35",2589982720,136839168,5584715776,332,80867,0,7134.6,3,1427.7,13616.6,13923.4
"36",2589982720,136839168,5584715776,340,80859,0,7123,3,1514.3,13625.8,6809.2
"37",2589982720,136839168,5584715776,355,80844,0,3567.2,2,1412.8,6810,6472.5
"38",2589982720,136839168,5584715776,309,80890,0,7563.2,6.1,3778,15730,7893.3
"39",2589982720,136839168,5543297024,317,80883,0,7561.1,4,1636,13604.6,3886.9
"40",2589982720,136839168,5543297024,332,80867,0,3915.3,2,1517.7,6808.7,10370.1
"41",2589982720,136839168,5543297024,347,80852,0,7128.9,3,1578.9,13611.7,10049
"42",2589982720,136839168,5543297024,355,80845,0,7133.4,3,1554.2,13605.3,3562.7
"43",2589982720,136839168,5543297024,373,80826,0,4022.6,20.8,3881.1,8722.4,11812.5
"44",2589982720,136839168,5543297024,389,80810,0,10156.9,6.1,2602.4,14855.4,10202.7
"45",2589982720,136839168,5543297024,397,80803,0,7164.8,3,1569.2,13610.4,3242.6
"46",2589982720,136839168,5543297024,412,80787,0,3565.8,3,1538.4,6795.5,13265.4
"47",2589982720,136839168,5543297024,427,80772,0,7119,4,1550.2,13644,10360.1
"48",2589982720,136839168,5543297024,439,80761,0,7529.3,6,3110.7,15374.5,7607.6
"49",2615148544,112721920,5543297024,454,80746,0,4145.8,4,2097.5,6920.6,6865.1
"50",2615148544,112721920,5543297024,469,80730,0,7105.5,3,1421.6,13650.6,7436.6
"51",2615148544,112721920,5543297024,477,80723,0,7117.9,3,1489.3,13641.2,3875.5
"52",2615148544,112721920,5543297024,492,80708,0,3564.3,3,1441.5,6815.9,10057.9
"53",2615148544,112721920,5548539904,511,80689,0,7750.8,5.1,4570.4,16027.3,15087.1
"54",2615148544,112721920,5548539904,519,80681,0,13046.5,10.8,3107.9,17071.4,7563.4
"55",2615148544,112721920,5548539904,534,80666,0,3611.5,2,1530.3,6817.5,10389.1
"56",2615148544,112721920,5548539904,549,80650,0,7133,3,1575.6,13662.2,9733.4
"57",2615148544,112721920,5548539904,556,80643,0,7125.2,3,1436.9,13639.3,7117.4
"58",2615148544,112721920,5548539904,575,80625,0,4370.2,6,3076.8,8469,7599
"59",2615148544,112721920,5548539904,324,80875,0,7266.9,3,2116,13913.9,10420.7
"60",2615148544,112721920,5548539904,332,80867,0,3899.1,4,1402.7,13652.1,13966.5
"61",2615148544,112721920,5548539904,347,80852,0,10364.3,3,1602.1,6814.1,6483.4
"62",2615148544,112721920,5548539904,362,80837,0,3561.3,3,1588.6,13659,11022.9
"63",2615148544,112721920,5567938560,374,80826,0,7564.2,9.1,5254.8,17506.9,14195.2
"64",2594177024,135266304,5567938560,317,80883,0,9795.3,4,1867.8,6900.6,6865
"65",2594177024,135266304,5567938560,331,80868,0,3565.8,5,1393.4,13616.8,10372.8
"66",2594177024,135266304,5567938560,339,80861,0,7130.6,3,1559.2,13615.3,10361.2
"67",2594177024,135266304,5567938560,354,80846,0,7118,2,1651.1,6807.5,6794.4
"68",2594177024,135266304,5567938560,373,80827,0,4038.1,5.1,3364.7,15820.5,10745
"69",2594177024,135266304,5567938560,316,80884,0,7400.6,3,1779.2,13675,6842.3
"70",2594177024,135266304,5567938560,331,80868,0,7114.5,4,1312,6805.7,3563.1
"71",2594177024,135266304,5567938560,346,80853,0,3549.2,3,1535.7,13620.3,12966.7
"72",2594177024,135266304,5567938560,354,80845,0,7110.4,2,1566.2,13632.5,10054.8
"73",2594177024,135266304,5561647104,373,80826,0,8129.3,14.1,5774.9,10523.5,5155.5
"74",2594177024,135266304,5561647104,324,80875,0,9017.2,2,1786,15363,10695
"75",2594177024,135266304,5561647104,332,80868,0,7402.2,3,1507.4,13593.1,10669.4
"76",2594177024,135266304,5561647104,347,80852,0,7124.3,3,1534.8,6793.8,3236.9
"77",2594177024,135266304,5561647104,362,80837,0,3562.8,3,1447.2,13606,13584.5
"78",2594177024,135266304,5561647104,374,80826,0,7740.9,16.8,3570.2,15707.8,14495.7
"79",2594701312,133693440,5561647104,317,80882,0,7358.9,3,1453.5,6799.7,6789.9
"80",2594701312,133693440,5561647104,332,80867,0,3588,5,1562.8,13605.4,10351.3
"81",2594701312,133693440,5561647104,340,80860,0,7116.7,3,1438.6,13607.8,10997.2
"82",2594701312,133693440,5561647104,355,80844,0,7112.4,4,1407,6802.2,6793.4
"83",2594701312,133693440,5561647104,373,80826,0,4067.5,7,2706.7,14733.7,14259.8
"84",2594701312,133693440,5566889984,381,80819,0,7297.8,2,1773.5,13626.4,13585.7
"85",2594701312,133693440,5566889984,397,80802,0,7271,5,3430.8,8850.8,7007.6
"86",2594701312,133693440,5566889984,412,80787,0,5729,-1,-1,-1,6802.4
"87",2594701312,133693440,5566889984,420,80779,0,7116.1,3,1784.1,13598.9,13277.8
"88",2594701312,133693440,5566889984,439,80760,0,7724.8,3,1489.4,13600.8,7991.4
"89",2594701312,133693440,5566889984,325,80874,0,3852.8,7,3698.1,9166.6,6463.5
"90",2594701312,133693440,5566889984,333,80866,0,7109.8,4,1589.8,13278,10343.4
"91",2594701312,133693440,5566889984,348,80851,0,7099.7,3,1517.6,13610.7,6802.2
"92",2594701312,133693440,5566889984,363,80836,0,3555.2,3,1685.1,10365.9,13912.3
"93",2594701312,133693440,5566889984,374,80826,0,8000.8,3,1769.8,10095.8,15093.8
"94",2591555584,134742016,5566889984,317,80882,0,12032.5,27,6059,18057,6841.7
"95",2591555584,134742016,5566889984,332,80867,0,3551.9,3,1813.2,15867.6,13602.9
"96",2591555584,134742016,5566889984,340,80860,0,7108.1,3,1398.4,6806.7,6793.8
"97",2591555584,134742016,5566889984,355,80845,0,7106.4,3,1512.6,13613.5,6485.1
"98",2591555584,134742016,5566889984,374,80825,0,4321.9,3.1,1754.5,13666.3,11115.7
"99",2591555584,134742016,5566889984,317,80883,0,7306.7,8,3238.7,8970.3,6871.4
"100",2591555584,134742016,5566889984,332,80867,0,7114.3,4,1686.6,13646,6480.4
"101",2591555584,134742016,5566889984,347,80852,0,3560.6,4,1515.6,13610.5,10680.4
"102",2591555584,134742016,5566889984,355,80845,0,7125.7,3,1610,6807.7,7105.8
"103",2591555584,134742016,5571084288,374,80826,0,8300.2,3,1509.9,13692.9,7800.5
"104",2591555584,134742016,5571084288,324,80875,0,6170,18.2,4853.4,16680.5,10738.9
"105",2591555584,134742016,5571084288,332,80867,0,7174.7,2,1511.2,6793.3,7162.1
"106",2591555584,134742016,5571084288,347,80852,0,7162.2,4,1566.5,13603.6,3905.3
"107",2591555584,134742016,5571084288,362,80837,0,3578.2,3,1556.4,13619.5,9746.8
"108",2591555584,134742016,5571084288,373,80826,0,7828.8,4,1828.7,6857.1,14141.1
"109",2589458432,136839168,5571084288,317,80882,0,7755.5,7.1,2996.8,15353.4,6877.2
"110",2589458432,136839168,5571084288,332,80867,0,3825,3,1678.1,13701.9,13613.1
"111",2589458432,136839168,5571084288,340,80860,0,7163,3.9,1630.4,6809.3,9742.5
"112",2589458432,136839168,5571084288,355,80844,0,7160,4,1536.3,13619.5,6481.8
"113",2589458432,136839168,5571084288,374,80825,0,4683,3.1,1963.5,13720.1,11651.3
"114",2589458432,136839168,5571608576,317,80882,0,11968.9,8.1,6044,12358.4,10389.2
"115",2589458432,136839168,5571608576,333,80867,0,7281.2,3,1360,13628,6798.2
"116",2589458432,136839168,5571608576,348,80852,0,3573.3,3,1523.6,13611.2,10684.7
"117",2589458432,136839168,5571608576,355,80844,0,7151,2,1294.1,6804.9,10361.1
"118",2589458432,136839168,5571608576,374,80825,0,8122.7,6,1614.6,13651.2,7701.8
"119",2589458432,136839168,5571608576,325,80874,0,3772,6,3213.1,15517.9,13918
"120",2589458432,136839168,5571608576,347,80852,0,7146.9,3,1842.6,13623,13605.9
"121",2589458432,136839168,5571608576,358,80841,0,3569.1,5,1560.1,13604.5,3257.2
"122",2589458432,136839168,5571608576,370,80830,0,8057.8,4,2613.3,6864.8,13274.5
"123",2595749888,132644864,5575278592,313,80887,0,9327.6,14.1,4511,17245.6,14454.7
"124",2595749888,132644864,5575278592,328,80872,0,3563.8,3,1501.3,13604.8,3565.4
"125",2595749888,132644864,5575278592,335,80864,0,7123.7,3,1479.4,6811.3,12964.3
"126",2595749888,132644864,5575278592,351,80849,0,7129,3.1,1447.3,13603.3,10365.7
"127",2595749888,132644864,5575278592,370,80830,0,4754.1,5,1776.7,13677,7178.9
"128",2595749888,132644864,5575278592,313,80887,0,6988.8,9,3206.7,8983.1,4711.7
"129",2595749888,132644864,5575278592,328,80871,0,7120.8,2,1855.3,13645.7,13659.3
"130",2595749888,132644864,5575278592,343,80856,0,7119.7,5,1517.4,13608.9,10347.5
"131",2595749888,132644864,5575278592,351,80849,0,3556.8,3,1426.6,6795.5,3556.3
"132",2595749888,132644864,5575278592,370,80830,0,8655.9,4,1904.9,13695.9,13280.6
"133",2595749888,132644864,5576327168,321,80879,0,12101.7,9,5464.1,19027.2,11067.9
